time,poa_global
2020-01-29-13:09:00,504.98
2020-01-29-14:09:00,406.45
2020-01-29-15:09:00,141.6
2020-01-29-16:09:00,0.0
2020-01-29-17:09:00,0.0
2020-01-29-18:09:00,0.0
2020-01-29-19:09:00,0.0
2020-01-29-20:09:00,0.0
2020-01-29-21:09:00,0.0
2020-01-29-22:09:00,0.0
2020-01-29-23:09:00,0.0
2020-01-30-00:09:00,0.0
2020-01-30-01:09:00,0.0
2020-01-30-02:09:00,0.0
2020-01-30-03:09:00,0.0
2020-01-30-04:09:00,0.0
2020-01-30-05:09:00,0.0
2020-01-30-06:09:00,197.12
2020-01-30-07:09:00,339.15
2020-01-30-08:09:00,402.89
2020-01-30-09:09:00,893.65
2020-01-30-10:09:00,910.57
2020-01-30-11:09:00,975.74
2020-01-30-12:09:00,406.47
2020-01-30-13:09:00,498.84
2020-01-30-14:09:00,456.73
2020-01-30-15:09:00,153.28
2020-01-30-16:09:00,0.0
2020-01-30-17:09:00,0.0
2020-01-30-18:09:00,0.0
2020-01-30-19:09:00,0.0
2020-01-30-20:09:00,0.0
2020-01-30-21:09:00,0.0
2020-01-30-22:09:00,0.0
2020-01-30-23:09:00,0.0
2020-01-31-00:09:00,0.0
2020-01-31-01:09:00,0.0
2020-01-31-02:09:00,0.0
2020-01-31-03:09:00,0.0
2020-01-31-04:09:00,0.0
2020-01-31-05:09:00,0.0
2020-01-31-06:09:00,179.55
2020-01-31-07:09:00,435.49
2020-01-31-08:09:00,662.97
2020-01-31-09:09:00,901.3
2020-01-31-10:09:00,987.4499999999999
2020-01-31-11:09:00,984.62
2020-01-31-12:09:00,858.4699999999999
2020-01-31-13:09:00,547.03
2020-01-31-14:09:00,456.93
2020-01-31-15:09:00,116.9
2020-01-31-16:09:00,0.0
2020-01-31-17:09:00,0.0
2020-01-31-18:09:00,0.0
2020-01-31-19:09:00,0.0
2020-01-31-20:09:00,0.0
2020-01-31-21:09:00,0.0
2020-01-31-22:09:00,0.0
2020-01-31-23:09:00,0.0
2020-02-01-00:09:00,0.0
2020-02-01-01:09:00,0.0
2020-02-01-02:09:00,0.0
2020-02-01-03:09:00,0.0
2020-02-01-04:09:00,0.0
2020-02-01-05:09:00,0.0
2020-02-01-06:09:00,173.46
2020-02-01-07:09:00,446.69
2020-02-01-08:09:00,689.98
2020-02-01-09:09:00,876.41
2020-02-01-10:09:00,961.92
2020-02-01-11:09:00,960.44
2020-02-01-12:09:00,859.8
2020-02-01-13:09:00,550.0799999999999
2020-02-01-14:09:00,430.45
2020-02-01-15:09:00,101.67
2020-02-01-16:09:00,0.0
2020-02-01-17:09:00,0.0
2020-02-01-18:09:00,0.0
2020-02-01-19:09:00,0.0
2020-02-01-20:09:00,0.0
2020-02-01-21:09:00,0.0
2020-02-01-22:09:00,0.0
2020-02-01-23:09:00,0.0
2020-02-02-00:09:00,0.0
2020-02-02-01:09:00,0.0
2020-02-02-02:09:00,0.0
2020-02-02-03:09:00,0.0
2020-02-02-04:09:00,0.0
2020-02-02-05:09:00,0.0
2020-02-02-06:09:00,35.48
2020-02-02-07:09:00,453.71000000000004
2020-02-02-08:09:00,672.1099999999999
2020-02-02-09:09:00,858.49
2020-02-02-10:09:00,948.95
2020-02-02-11:09:00,905.95
2020-02-02-12:09:00,794.04
2020-02-02-13:09:00,694.12
2020-02-02-14:09:00,366.25
2020-02-02-15:09:00,80.36
2020-02-02-16:09:00,0.0
2020-02-02-17:09:00,0.0
2020-02-02-18:09:00,0.0
2020-02-02-19:09:00,0.0
2020-02-02-20:09:00,0.0
2020-02-02-21:09:00,0.0
2020-02-02-22:09:00,0.0
2020-02-02-23:09:00,0.0
2020-02-03-00:09:00,0.0
2020-02-03-01:09:00,0.0
2020-02-03-02:09:00,0.0
2020-02-03-03:09:00,0.0
2020-02-03-04:09:00,0.0
2020-02-03-05:09:00,0.0
2020-02-03-06:09:00,179.73000000000002
2020-02-03-07:09:00,445.27000000000004
2020-02-03-08:09:00,690.3
2020-02-03-09:09:00,883.92
